City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
125,Bilma,NE,2021-08-07 22:03:34,18.6853,12.9164,96.13,25,94,11.43,overcast clouds
126,Cape Town,ZA,2021-08-07 22:07:18,-33.9258,18.4232,50.41,100,90,3.44,overcast clouds
127,Ancud,CL,2021-08-07 22:12:04,-41.8697,-73.8203,47.43,77,53,7.76,broken clouds
128,Cabo San Lucas,MX,2021-08-07 22:12:04,22.8909,-109.9124,92.61,62,40,19.57,scattered clouds
129,Rock Sound,BS,2021-08-07 22:08:18,24.9,-76.2,83.5,73,7,7.83,clear sky
130,Atuona,PF,2021-08-07 22:12:05,-9.8,-139.0333,77.2,81,71,14.05,light rain
131,Castro,BR,2021-08-07 22:12:05,-24.7911,-50.0119,56.21,77,58,4.61,broken clouds
132,Chiang Mai,TH,2021-08-07 22:08:19,18.75,99.0,75.27,94,20,0.0,few clouds
133,Kununurra,AU,2021-08-07 22:09:06,-15.7667,128.7333,49.98,71,13,1.14,few clouds
134,Mount Gambier,AU,2021-08-07 22:02:46,-37.8333,140.7667,33.71,100,75,0.0,broken clouds
135,Severo-Kurilsk,RU,2021-08-07 22:12:06,50.6789,156.125,55.24,72,81,8.3,broken clouds
136,Grand Island,US,2021-08-07 22:06:06,40.925,-98.342,89.2,65,90,4.0,overcast clouds
137,Coihaique,CL,2021-08-07 22:12:06,-45.5752,-72.0662,42.75,61,75,3.44,broken clouds
138,Muros,ES,2021-08-07 22:08:20,42.7762,-9.0603,63.23,90,1,5.17,clear sky
139,Bambous Virieux,MU,2021-08-07 22:08:21,-20.3428,57.7575,68.25,88,75,3.44,broken clouds
140,Zeya,RU,2021-08-07 22:08:21,53.75,127.2667,57.36,88,100,4.12,overcast clouds
141,Lembang,ID,2021-08-07 22:07:17,-6.8117,107.6175,61.81,93,11,3.02,few clouds
142,Komsomolskiy,UZ,2021-08-07 22:12:07,40.4272,71.7189,79.52,31,82,4.61,broken clouds
143,Morro Bay,US,2021-08-07 22:08:21,35.3658,-120.8499,97.93,60,24,11.99,few clouds
144,Mount Isa,AU,2021-08-07 22:08:22,-20.7333,139.5,53.37,40,0,1.14,clear sky
145,Opuwo,NA,2021-08-07 22:12:08,-18.0607,13.84,66.25,21,0,5.03,clear sky
146,Quatre Cocos,MU,2021-08-07 22:08:22,-20.2078,57.7625,68.11,81,54,11.43,broken clouds
147,Bredasdorp,ZA,2021-08-07 22:08:23,-34.5322,20.0403,49.28,88,99,0.96,overcast clouds
148,Saldanha,ZA,2021-08-07 22:08:23,-33.0117,17.9442,56.61,74,100,6.76,overcast clouds
149,Broome,US,2021-08-07 22:08:24,42.2506,-75.833,84.09,79,75,5.01,light rain
150,Klaksvik,FO,2021-08-07 22:08:25,62.2266,-6.589,59.92,89,95,18.39,overcast clouds
151,Cibitoke,BI,2021-08-07 22:08:25,-2.8833,29.25,66.47,64,69,3.38,broken clouds
152,Safaga,EG,2021-08-07 22:08:25,26.7292,33.9365,92.52,34,0,5.59,clear sky
153,Flin Flon,CA,2021-08-07 22:08:26,54.7682,-101.865,72.99,65,100,8.16,overcast clouds
154,East London,ZA,2021-08-07 22:12:10,-33.0153,27.9116,59.5,79,54,11.3,broken clouds
155,Ixtapa,MX,2021-08-07 22:00:42,20.7,-105.2,80.33,89,99,4.09,overcast clouds
156,Zhigansk,RU,2021-08-07 22:12:10,66.7697,123.3711,66.16,39,94,20.71,overcast clouds
157,Zarate,AR,2021-08-07 22:05:56,-34.0981,-59.0286,72.03,61,4,5.01,clear sky
158,Burgersdorp,ZA,2021-08-07 22:08:27,-30.9977,26.3286,45.75,25,14,3.71,few clouds
159,Saint-Augustin,CA,2021-08-07 22:12:11,51.226,-58.6502,65.73,92,100,1.68,overcast clouds
160,Launceston,AU,2021-08-07 22:08:27,-41.45,147.1667,36.81,90,90,4.61,overcast clouds
161,Ribeira Grande,PT,2021-08-07 22:08:27,38.5167,-28.7,69.6,68,19,12.5,few clouds
162,Geraldton,AU,2021-08-07 22:08:28,-28.7667,114.6,61.21,94,90,6.91,overcast clouds
163,Clyde River,CA,2021-08-07 22:12:12,70.4692,-68.5914,39.72,84,94,3.51,overcast clouds
164,Byron Bay,AU,2021-08-07 22:08:28,-28.65,153.6167,62.55,75,14,13.22,few clouds
165,Vila Franca Do Campo,PT,2021-08-07 22:02:36,37.7167,-25.4333,70.21,76,11,6.73,few clouds
166,Malakal,SS,2021-08-07 22:12:12,9.5334,31.6605,72.55,96,100,3.69,overcast clouds
167,Yulara,AU,2021-08-07 22:12:13,-25.2406,130.9889,37.24,65,0,5.75,clear sky
168,Esperance,AU,2021-08-07 22:12:13,-33.8667,121.9,53.44,70,100,1.48,light rain
169,Nikolskoye,RU,2021-08-07 22:08:29,59.7035,30.7861,65.01,98,98,6.17,overcast clouds
170,Tasiilaq,GL,2021-08-07 22:08:29,65.6145,-37.6368,44.76,93,100,8.1,overcast clouds
171,Sheboygan,US,2021-08-07 22:08:30,43.7333,-87.9334,76.98,91,75,4.61,moderate rain
172,Vidim,RU,2021-08-07 22:08:30,56.4088,103.1106,49.46,66,18,0.78,few clouds
