City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
238,Alofi,NU,73.9,scattered clouds,-19.0595,-169.9187,Taloa Heights
239,Bournemouth,GB,60.82,clear sky,50.7205,-1.8795,Bournemouth East Cliff Hotel | Sure Collection by Best Western
240,San Rafael,AR,56.14,clear sky,-34.6177,-68.3301,Hotel San Rafael
243,Fairbanks,US,59.09,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
244,Zhangye,CN,66.29,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
245,Burgeo,CA,63.81,broken clouds,47.6167,-57.6152,Gillett's Motel
247,Hofn,IS,56.88,overcast clouds,64.2539,-15.2082,Hótel Höfn
249,Boyolangu,ID,73.6,broken clouds,-8.1181,111.8935,Yos ega cv
251,Ahipara,NZ,57.2,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
252,Knysna,ZA,59.38,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
253,Colares,PT,65.89,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
254,Kumba,CM,70.84,overcast clouds,4.6363,9.4469,El Bethel Hotel
256,Talcahuano,CL,55.08,broken clouds,-36.7167,-73.1167,departamento comodo
262,San Quintin,MX,73.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
264,Raahe,FI,60.89,clear sky,64.6833,24.4833,Hotelli Raahen Hovi
266,Jiayuguan,CN,66.9,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
268,Lata,PT,62.06,few clouds,40.1629,-8.3327,Casa Maquia
269,Nueve De Julio,AR,65.66,scattered clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
273,Mayumba,GA,72.16,overcast clouds,-3.432,10.6554,LIKWALE LODGE
275,Borodyanka,UA,64.54,clear sky,50.6448,29.9201,"Country club, hotel and restaurant ""Four seasons"""
277,Noumea,NC,62.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
278,Lichuan,CN,67.51,moderate rain,30.3,108.85,Yicheng Hotel
279,Porto Santo,PT,73.31,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
282,Wildberg,DE,60.12,broken clouds,48.6234,8.7452,Tor zum Schwarzwald
283,Bingol,TR,69.8,scattered clouds,38.8847,40.4939,Vali Konağı
284,San Vicente,AR,65.25,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
285,Lamu,KE,73.62,scattered clouds,-2.2717,40.902,Lamu House
286,Lagoa,PT,68.59,scattered clouds,39.05,-27.9833,Casa Das Faias
291,Azuaga,ES,69.96,clear sky,38.2667,-5.6833,Casa Rural La Hoya
298,Camacha,PT,70.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
299,Tongchuan,CN,70.5,overcast clouds,35.0806,109.0897,Tongchuan Hotel
300,Eregli,TR,63.37,broken clouds,37.5133,34.0467,Hotel Fuat Bey
302,Oktyabrskoye,RU,73.54,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
303,Mehamn,NO,60.62,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
306,Ketchikan,US,64.87,scattered clouds,55.3422,-131.6461,Snows Cove Lodge
308,Nhulunbuy,AU,74.01,clear sky,-12.2333,136.7667,East Arnhem Real Estate
309,Husavik,IS,58.3,overcast clouds,66.0449,-17.3389,Bjarnabúð
312,Manta,EC,73.98,broken clouds,-0.95,-80.7333,Balandra Hotel
313,Jinchang,CN,67.05,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
314,Inhambane,MZ,66.27,clear sky,-23.865,35.3833,Oceano
316,Acari,PE,66.54,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
318,Krasnoselkup,RU,61.27,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
327,Khor,RU,56.7,overcast clouds,47.8861,134.9464,"Gostinitsa, Stolovaya, Avtokompleks"
328,Hovd,MN,55.26,clear sky,48.0056,91.6419,Hotel Khovd
332,Praia Da Vitoria,PT,69.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
334,Baneh,IR,73.76,scattered clouds,35.9975,45.8853,ساختمان زیتون
337,Sfantu Gheorghe,RO,64.27,clear sky,45.8667,25.7833,Hotel Park
344,Vardo,NO,56.57,broken clouds,70.3705,31.1107,Vardø Hotel AS
346,Leh,IN,62.06,few clouds,34.1667,77.5833,Hotel Ladakh Greens
347,Sitka,US,62.49,light rain,57.0531,-135.33,Westmark Sitka
349,Krasnyy Oktyabr,RU,71.29,light rain,56.1167,38.8833,Priozernaya Hotel
350,Igarka,RU,57.42,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
352,Manzhouli,CN,63.14,broken clouds,49.6,117.4333,Angala International Youth Hostel
353,Prince Rupert,CA,61.47,overcast clouds,54.3161,-130.3201,Crest Hotel
354,Tianpeng,CN,73.42,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
356,Marawi,PH,68.65,heavy intensity rain,7.9986,124.2928,Derogongan Residence
358,Mbandaka,CD,68.31,light rain,0.0487,18.2603,Guest House Epervier
360,Svelgen,NO,65.19,overcast clouds,61.7685,5.2955,Svelgen Hotel
361,Monte Carmelo,BR,63.0,broken clouds,-18.7247,-47.4986,Park hotel
364,Miandrivazo,MG,67.44,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
365,Wuwei,CN,66.29,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
367,Ponta Do Sol,PT,74.71,broken clouds,32.6667,-17.1,Hotel do Campo
371,Sonqor,IR,73.26,overcast clouds,34.7837,47.6004,رینگ و لاستیک میلاد (غیاثی)
372,Boueni,YT,67.98,clear sky,-12.9025,45.0761,The feet in water
376,Nsanje,MW,66.88,clear sky,-16.92,35.262,Nsanje Discovery Lodge
378,Bereda,ES,56.95,clear sky,43.2686,-7.5406,Pazo de Verdes
379,Kontagora,NG,71.91,broken clouds,10.3999,5.4695,Queens Guest Inn
380,Toamasina,MG,64.96,few clouds,-18.1667,49.3833,Hotel H1
382,Faya,SA,63.12,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
384,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
387,Santa Lucia,ES,65.52,few clouds,27.9117,-15.5407,Las Tirajanas
388,Port Hedland,AU,62.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
392,Florianopolis,BR,63.63,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
394,Almenara,BR,69.55,overcast clouds,-16.1836,-40.6944,Pousada Estância
395,Yeppoon,AU,55.18,clear sky,-23.1333,150.7333,Villa Mar Colina
398,Stolin,BY,57.94,few clouds,51.8912,26.846,Stolinskiy Khlebozavod
399,Kisangani,CD,69.66,broken clouds,0.5167,25.2,Grand Ramela Hotel
400,Likasi,CD,62.31,clear sky,-10.9814,26.7333,TABERNACLE DE LIKASI
401,Taltal,CL,55.67,scattered clouds,-25.4,-70.4833,Residencial Karime
402,Scarborough,GB,59.85,overcast clouds,54.2797,-0.4044,Ambassador Roomzzz
403,Nelson Bay,AU,55.99,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
404,Belmonte,BR,72.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
408,Ambovombe,MG,64.31,clear sky,-25.1667,46.0833,RELAHARA
421,Baglung,NP,71.08,light rain,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
422,Lulea,SE,64.47,scattered clouds,65.5842,22.1547,Comfort Hotel Arctic
423,Mujiayingzi,CN,67.32,few clouds,42.1167,118.7833,Jinjiang Hotel
424,Quchan,IR,72.16,clear sky,37.106,58.5095,گلیم دستبافت کیمیایی
428,Maldonado,UY,65.23,clear sky,-34.6667,-54.9167,La Cimarrona
429,Faranah,GN,71.1,overcast clouds,10.0404,-10.7434,Chez mon oncle
431,Talnakh,RU,55.42,scattered clouds,69.4865,88.3972,Talnakh Hotel
432,Inongo,CD,69.49,overcast clouds,-1.95,18.2667,Hotel Du Lac
436,Halifax,CA,74.41,overcast clouds,44.6453,-63.5724,Hotel Halifax
439,Ornskoldsvik,SE,64.22,broken clouds,63.2909,18.7153,ファーストホテル スタット
440,Pangai,TO,73.02,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
446,Sechura,PE,71.6,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
450,Lipin Bor,RU,59.58,light rain,60.2622,37.9763,Priozor'ye
451,Torquay,GB,59.58,few clouds,50.4638,-3.5143,The Grand Hotel
453,Ambanja,MG,70.45,light rain,-13.6833,48.45,Hotel Salama and Fast Food
457,Nyurba,RU,63.52,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
458,Kaele,CM,72.61,light rain,10.1092,14.4508,Hôtel Les Palmiers
459,Saint-Joseph,RE,68.36,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
462,Sao Joao Da Barra,BR,68.31,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
465,Belyy Yar,RU,57.09,mist,53.6039,91.3903,Pasportnyy Stol
469,Begoro,GH,70.34,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
476,Margate,GB,62.31,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
477,Chapais,CA,65.17,clear sky,49.7834,-74.8492,Hôtel Opémiska
